CURRENT_LANGUAGE,English,Français,Italiano,Deutsch,Español (España),Español (LatAm),Português (BR),Русский,Українська,简体中文,繁体中文,日本語,한국어,Polski,Türkçe,ENDLINE
"PEAKCHATOPSWELCOME","Welcome to PeakChatOps","Bienvenue sur PeakChatOps","Benvenuto su PeakChatOps","Willkommen bei PeakChatOps","Bienvenido a PeakChatOps","Bienvenido a PeakChatOps","Bem-vindo ao PeakChatOps","Добро пожаловать в PeakChatOps","Ласкаво просимо до PeakChatOps","欢迎使用 PeakChatOps 聊天","歡迎使用 PeakChatOps 聊天","PeakChatOpsへようこそ","PeakChatOps에 오신 것을 환영합니다","Witaj w PeakChatOps","PeakChatOps'a hoş geldiniz",""
"TRANSLATE_PROMPT","Please translate the following text:","Veuillez traduire le texte suivant :","Si prega di tradurre il testo seguente:","Bitte übersetzen Sie den folgenden Text:","Por favor, traduzca el siguiente texto:","Por favor, traduzca el siguiente texto:","Por favor, traduza o texto a seguir:","Пожалуйста, переведите следующий текст:","Будь ласка, перекладіть наступний текст:","请翻译以下内容：","請翻譯以下內容：","以下の文章を翻訳してください：","아래의 텍스트를 번역해 주세요:","Proszę przetłumaczyć poniższy tekst:","Lütfen aşağıdaki metni çevirin:",""
"PROMPT_SEND","Please answer as my spokesperson for this round. Your reply will be sent to other players as if it were from me. Start directly","Répondez en tant que mon porte-parole pour cette manche. Votre réponse sera envoyée aux autres joueurs comme si elle venait de moi. Commencez directement.","Rispondi come mio portavoce per questo turno. La tua risposta sarà inviata agli altri giocatori come se fosse da me. Inizia subito.","Antworte als mein Sprecher für diese Runde. Deine Antwort wird anderen Spielern wie von mir gesendet. Beginne direkt.","Responde como mi portavoz en esta ronda. Tu respuesta será enviada a los demás jugadores como si fuera mía. Empieza directamente.","Responde como mi portavoz en esta ronda. Tu respuesta será enviada a los demás como si fuera mía. Comienza directamente.","Responda como meu porta-voz nesta rodada. Sua resposta será enviada aos outros jogadores como se fosse minha. Comece direto.","Ответьте как мой представитель в этом раунде. Ваш ответ будет отправлен другим игрокам от моего имени. Начните сразу.","Відповідайте як мій представник у цьому раунді. Ваша відповідь буде надіслана іншим гравцям від мого імені. Починайте відразу.","请作为我的“代言人”身份回答本轮。你的回复将以我的名义发送给其他玩家。请直接开始。","請以我的「代言人」身份回答本輪。你的回覆將以我的名義發送給其他玩家。請直接開始。","このラウンドは私の代理人として回答してください。あなたの返答は私の名義で他のプレイヤーに送信されます。すぐに始めてください。","이번 라운드는 제 대변인으로 답해주세요. 답변은 제 이름으로 다른 플레이어에게 전송됩니다. 바로 시작하세요.","Odpowiedz jako mój rzecznik w tej rundzie. Twoja odpowiedź zostanie wysłana innym graczom jako moja. Zacznij od razu.","Bu turda benim sözcüm olarak yanıt verin. Cevabınız diğer oyunculara benim adıma gönderilecektir. Hemen başlayın.",""
"TRANSLATE_PROMPT","Please translate the following text:","Veuillez traduire le texte suivant :","Si prega di tradurre il testo seguente:","Bitte übersetzen Sie den folgenden Text:","Por favor, traduzca el siguiente texto:","Por favor, traduzca el siguiente texto:","Por favor, traduza o texto a seguir:","Пожалуйста, переведите следующий текст:","Будь ласка, перекладіть наступний текст:","请翻译以下内容：","請翻譯以下內容：","以下の文章を翻訳してください：","아래의 텍스트를 번역해 주세요:","Proszę przetłumaczyć poniższy tekst:","Lütfen aşağıdaki metni çevirin:",""
"PROMPT_SEND","Please answer as my spokesperson for this round. Your reply will be sent to other players as if it were from me. Start directly","Répondez en tant que mon porte-parole pour cette manche. Votre réponse sera envoyée aux autres joueurs comme si elle venait de moi. Commencez directement.","Rispondi come mio portavoce per questo turno. La tua risposta sarà inviata agli altri giocatori come se fosse da me. Inizia subito.","Antworte als mein Sprecher für diese Runde. Deine Antwort wird anderen Spielern wie von mir gesendet. Beginne direkt.","Responde como mi portavoz en esta ronda. Tu respuesta será enviada a los demás jugadores como si fuera mía. Empieza directamente.","Responde como mi portavoz en esta ronda. Tu respuesta será enviada a los demás como si fuera mía. Comienza directamente.","Responda como meu porta-voz nesta rodada. Sua resposta será enviada aos outros jogadores como se fosse minha. Comece direto.","Ответьте как мой представитель в этом раунде. Ваш ответ будет отправлен другим игрокам от моего имени. Начните сразу.","Відповідайте як мій представник у цьому раунді. Ваша відповідь буде надіслана іншим гравцям від мого імені. Починайте відразу.","请作为我的“代言人”身份回答本轮。你的回复将以我的名义发送给其他玩家。请直接开始。","請以我的「代言人」身份回答本輪。你的回覆將以我的名義發送給其他玩家。請直接開始。","このラウンドは私の代理人として回答してください。あなたの返答は私の名義で他のプレイヤーに送信されます。すぐに始めてください。","이번 라운드는 제 대변인으로 답해주세요. 답변은 제 이름으로 다른 플레이어에게 전송됩니다. 바로 시작하세요.","Odpowiedz jako mój rzecznik w tej rundzie. Twoja odpowiedź zostanie wysłana innym graczom jako moja. Zacznij od razu.","Bu turda benim sözcüm olarak yanıt verin. Cevabınız diğer oyunculara benim adıma gönderilecektir. Hemen başlayın.",""
"AI_CONTEXT_MAX_COUNT_DESCRIPTION","Maximum number of AI context messages (affects memory length, higher value uses more resources)","Nombre maximal de messages de contexte AI (affecte la longueur de la mémoire, une valeur plus élevée utilise plus de ressources)","Numero massimo di messaggi di contesto AI (influisce sulla lunghezza della memoria, un valore più alto utilizza più risorse)","Maximale Anzahl an AI-Kontextnachrichten (beeinflusst die Gedächtnislänge, höherer Wert benötigt mehr Ressourcen)","Número máximo de mensajes de contexto de IA (afecta la longitud de la memoria, un valor mayor usa más recursos)","Número máximo de mensajes de contexto de IA (afecta la longitud de la memoria, un valor mayor usa más recursos)","Número máximo de mensagens de contexto de IA (afeta o comprimento da memória, valor mais alto usa mais recursos)","Максимальное количество сообщений контекста ИИ (влияет на длину памяти, большее значение требует больше ресурсов)","Максимальна кількість повідомлень контексту AI (впливає на довжину пам'яті, більше значення використовує більше ресурсів)","AI上下文最大历史消息数（影响AI记忆长度，值越大越耗费资源）","AI上下文最大歷史消息數（影響AI記憶長度，值越大越耗費資源）","AIコンテキストメッセージの最大数（記憶の長さに影響し、値が大きいほどリソースを消費します）","AI 컨텍스트 메시지 최대 개수(메모리 길이에 영향, 값이 클수록 리소스 소모)","Maksymalna liczba wiadomości kontekstu AI (wpływa na długość pamięci, wyższa wartość zużywa więcej zasobów)","AI bağlam mesajlarının maksimum sayısı (hafıza uzunluğunu etkiler, yüksek değer daha fazla kaynak kullanır)",""
"AI_SHOW_RESPONSE_DESCRIPTION","Show full AI response in chat","Afficher la réponse complète de l'IA dans le chat","Mostra la risposta completa dell'AI nella chat","Vollständige KI-Antwort im Chat anzeigen","Mostrar la respuesta completa de la IA en el chat","Mostrar la respuesta completa de la IA en el chat","Mostrar resposta completa da IA no chat","Показывать полный ответ ИИ в чате","Показувати повну відповідь AI у чаті","在聊天中显示 AI 的完整回复","在聊天中顯示 AI 的完整回覆","チャットにAIの完全な返答を表示する","채팅에 AI의 전체 응답을 표시","Wyświetl pełną odpowiedź AI na czacie","Sohbette tam AI yanıtını göster",""
"PASS_OUT_MESSAGE","I'm so dizzy! Please help me!","J'ai la tête qui tourne ! Aidez-moi !","Mi gira la testa! Aiutatemi!","Mir ist schwindlig! Hilf mir!","¡Estoy mareado! ¡Ayúdame!","¡Estoy mareado! ¡Ayúdame!","Estou tonto! Por favor, me ajude!","Мне очень плохо! Помогите!","Мені дуже зле! Допоможіть!","我头晕得厉害！快来救我！","我頭暈得厲害！快來救我！","くらくらする！助けて！","어지러워! 도와줘!","Kręci mi się w głowie! Pomóżcie!","Başım dönüyor! Lütfen yardım edin!",""
"PASS_OUT_MESSAGE_DESCRIPTION","Message shown when the character passes out.","Message affiché lorsque le personnage s'évanouit.","Messaggio visualizzato quando il personaggio sviene.","Nachricht, die angezeigt wird, wenn der Charakter ohnmächtig wird.","Mensaje mostrado cuando el personaje se desmaya.","Mensaje mostrado cuando el personaje se desmaya.","Mensagem exibida quando o personagem desmaia.","Сообщение, отображаемое при обмороке персонажа.","Повідомлення, що показується, коли персонаж втрачає свідомість.","角色晕倒时显示的提示信息。","角色暈倒時顯示的提示信息。","キャラクターが気絶した時に表示されるメッセージ。","캐릭터가 기절할 때 표시되는 메시지.","Komunikat wyświetlany, gdy postać traci przytomność.","Karakter bayıldığında gösterilen mesaj.",""
"REVIVE_MESSAGE","Great! I'm revived! Thank you so much! Super","Super, je suis réanimé ! Merci beaucoup !","Fantastico, sono resuscitato! Grazie mille!","Toll, ich bin wiederbelebt! Vielen Dank!","¡Genial, he resucitado! ¡Muchas gracias!","¡Genial, me revivieron! ¡Muchas gracias!","Que ótimo, estou revivido! Muito obrigado!","Здорово, я ожил! Огромное спасибо!","Чудово, я ожив! Дуже дякую!","太好了，我复活了！非常感谢！","太好了，我復活了！非常感謝！","やった！蘇生した！本当にありがとう！","살아났다! 정말 고마워!","Świetnie, zostałem ożywiony! Bardzo dziękuję!","Harika, yeniden canlandım! Çok teşekkürler!",""
"REVIVE_MESSAGE_DESCRIPTION","Message shown when the character is revived.","Message affiché lorsque le personnage est réanimé.","Messaggio mostrato quando il personaggio viene rianimato.","Nachricht angezeigt, wenn die Spielfigur wiederbelebt wird.","Mensaje mostrado cuando el personaje es revivido.","Mensaje mostrado cuando el personaje es revivido.","Mensagem exibida quando o personagem é revivido.","Сообщение, отображаемое при воскрешении персонажа.","Повідомлення, що показується при відродженні персонажа.","角色被复活时显示的提示信息。","角色被復活時顯示的提示信息。","キャラクターが蘇生されたときに表示されるメッセージ。","캐릭터가 부활했을 때 표시되는 메시지.","Komunikat wyświetlany, gdy postać zostaje wskrzeszona.","Karakter canlandığında gösterilen mesaj.",""
"DEATH_MESSAGE","I never thought I'd see the day I die!","Je n'aurais jamais pensé voir le jour où je mourrais !","Non avrei mai pensato di vedere il giorno in cui morivo!","Ich hätte nie gedacht, dass ich den Tag erleben würde, an dem ich sterbe!","¡Nunca pensé que vería el día en que moriría!","¡Nunca pensé que vería el día en que moriría!","Nunca pensei que veria o dia em que morreria!","Я никогда не думал, что доживу до дня своей смерти!","Я ніколи не думав, що доживу до дня своєї смерті!","我从没想过会有今天我会死！","我從沒想過會有今天我會死！","自分が死ぬ日を見るとは思わなかった！","내가 죽는 날을 보게 될 줄은 몰랐어!","Nigdy bym nie pomyślał, że doczekam dnia swojej śmierci!","Ölceğim günü göreceğimi hiç düşünmezdim!",""
"DEATH_MESSAGE_DESCRIPTION","Message shown when the character dies.","Message affiché lorsque le personnage meurt.","Messaggio mostrato quando il personaggio muore.","Nachricht, die angezeigt wird, wenn der Charakter stirbt.","Mensaje mostrado cuando el personaje muere.","Mensaje mostrado cuando el personaje muere.","Mensagem exibida quando o personagem morre.","Сообщение, отображаемое при смерти персонажа.","Повідомлення, що показується при смерті персонажа.","角色死亡时显示的提示信息。","角色死亡時顯示的提示信息。","キャラクターが死亡したときに表示されるメッセージ。","캐릭터가 사망했을 때 표시되는 메시지.","Komunikat wyświetlany, gdy postać umiera.","Karakter öldüğünde gösterilen mesaj.",""
"CHAT_KEY_DESCRIPTION","The key that activates typing in chat","La touche qui active la saisie dans le chat","Il tasto che attiva la digitazione nella chat","Die Taste, die das Tippen im Chat aktiviert","La tecla que activa la escritura en el chat","La tecla que activa la escritura en el chat","A tecla que ativa a digitação no chat","Клавиша, которая активирует ввод в чате","Клавіша, яка активує введення в чаті","激活聊天输入的按键","啟動聊天輸入的按鍵","チャット入力を有効にするキー","채팅 입력을 활성화하는 키","Klawisz aktywujący pisanie na czacie","Sohbette yazmayı etkinleştiren tuş",""
"CHAT_POSITION_DESCRIPTION","The position of the chat window","La position de la fenêtre de chat","La posizione della finestra di chat","Die Position des Chat-Fensters","La posición de la ventana de chat","La posición de la ventana de chat","A posição da janela de chat","Положение окна чата","Положення вікна чату","聊天窗口的位置","聊天視窗的位置","チャットウィンドウの位置","채팅 창의 위치","Położenie okna czatu","Sohbet penceresinin konumu",""
"COMMAND_PREFIX_DESCRIPTION","Prefix to identify commands in chat","Préfixe pour identifier les commandes","Prefisso per identificare i comandi","Präfix zum Identifizieren von Befehlen im Chat","Prefijo para identificar comandos en el chat","Prefijo para identificar comandos en el chat","Prefixo para identificar comandos no chat","Префикс для идентификации команд в чате","Префікс для ідентифікації команд у чаті","聊天中识别命令的前缀","聊天中識別命令的前綴","チャットでコマンドを識別するプレフィックス","채팅에서 명령을 식별하는 접두사","Prefiks identyfikujący polecenia na czacie","Sohbette komutları tanımlamak için önek",""
"AI_MODEL_DESCRIPTION","AI model to use for chat (Ollama/OpenAI compatible)","Modèle d'IA à utiliser pour le chat (compatible Ollama/OpenAI)","Modello di IA da utilizzare per la chat (compatibile con Ollama/OpenAI)","KI-Modell für den Chat (Ollama/OpenAI-kompatibel)","Modelo de IA para usar en el chat (compatible con Ollama/OpenAI)","Modelo de IA para usar en el chat (compatible con Ollama/OpenAI)","Modelo de IA para usar no chat (compatível com Ollama/OpenAI)","Модель ИИ для использования в чате (совместима с Ollama/OpenAI)","Модель ШІ для використання в чаті (сумісна з Ollama/OpenAI)","用于聊天的AI模型（兼容Ollama/OpenAI）","用於聊天的AI模型（相容Ollama/OpenAI）","チャットに使用するAIモデル（Ollama/OpenAI互換）","채팅에 사용할 AI 모델(Ollama/OpenAI 호환)","Model AI do użycia w czacie (kompatybilny z Ollama/OpenAI)","Sohbette kullanılacak AI modeli (Ollama/OpenAI uyumlu)",""
"AI_APIKEY_DESCRIPTION","API key or path to API key file for AI service","Clé API ou chemin vers le fichier de clé API pour le service d'IA","Chiave API o percorso del file chiave per il servizio AI","API-Schlüssel oder Pfad zur API-Schlüsseldatei für den KI-Dienst","Clave API o ruta al archivo de clave API para el servicio de IA","Clave API o ruta al archivo de clave API para el servicio de IA","Chave API ou caminho para o arquivo de chave API para o serviço de IA","API-ключ или путь к файлу ключа API для сервиса ИИ","API-ключ або шлях до файлу ключа API для сервісу ШІ","AI 服务的 API 密钥或 API 密钥文件路径","AI 服務的 API 金鑰或 API 金鑰檔案路徑","AIサービスのAPIキーまたはAPIキー ファイルへのパス","AI 서비스용 API 키 또는 API 키 파일 경로","Klucz API lub ścieżka do pliku klucza API dla usługi AI","AI hizmeti için API anahtarı veya API anahtar dosyasının yolu",""
"AI_ENDPOINT_DESCRIPTION","Endpoint URL for AI service","URL du point de terminaison pour le service d'IA","URL endpoint per il servizio AI","Endpunkt-URL für den KI-Dienst","URL del endpoint para el servicio de IA","URL del endpoint para el servicio de IA","URL do endpoint para o serviço de IA","URL конечной точки для сервиса ИИ","URL кінцевої точки для сервісу ШІ","AI 服务的端点 URL","AI 服務的端點 URL","AIサービスのエンドポイントURL","AI 서비스용 엔드포인트 URL","Adres URL punktu końcowego usługi AI","AI hizmeti için uç nokta URL'si",""
"AI_AUTOTRANSLATE_DESCRIPTION","Automatically translate incoming messages to English for AI processing","Traduire automatiquement les messages entrants en anglais pour le traitement par l'IA","Traduci automaticamente i messaggi in arrivo in inglese per l'elaborazione AI","Eingehende Nachrichten automatisch ins Englische übersetzen für die KI-Verarbeitung","Traducir automáticamente los mensajes entrantes al inglés para el procesamiento de IA","Traducir automáticamente los mensajes entrantes al inglés para el procesamiento de IA","Traduzir automaticamente as mensagens recebidas para o inglês para processamento de IA","Автоматически переводить входящие сообщения на английский для обработки ИИ","Автоматично перекладати вхідні повідомлення англійською для обробки ШІ","自动将收到的消息翻译成英文以供 AI 处理","自動將收到的訊息翻譯成英文以供 AI 處理","受信メッセージをAI処理のために自動的に英語に翻訳する","수신 메시지를 AI 처리를 위해 자동으로 영어로 번역","Automatycznie tłumacz przychodzące wiadomości na angielski do przetwarzania przez AI","Gelen mesajları AI işlemesi için otomatik olarak İngilizceye çevir",""
"PROMPT_TRANSLATE_DESCRIPTION","Prompt used for translation requests","Invite utilisé pour les demandes de traduction","Prompt utilizzato per le richieste di traduzione","Eingabeaufforderung für Übersetzungsanfragen","Indicador utilizado para solicitudes de traducción","Indicador utilizado para solicitudes de traducción","Prompt usado para solicitações de tradução","Подсказка, используемая для запросов на перевод","Підказка, що використовується для запитів на переклад","用于翻译请求的提示词","用於翻譯請求的提示詞","翻訳リクエストに使用されるプロンプト","번역 요청에 사용되는 프롬프트","Polecenie używane do żądań tłumaczenia","Tercüme istekleri için kullanılan istem",""
"PROMPT_SEND_DESCRIPTION","Prompt used for AI chat messages","Invite utilisé pour les messages de chat IA","Prompt utilizzato per i messaggi di chat AI","Eingabeaufforderung für KI-Chat-Nachrichten","Indicador utilizado para mensajes de chat de IA","Indicador utilizado para mensajes de chat de IA","Prompt usado para mensagens de chat de IA","Подсказка, используемая для сообщений чата ИИ","Підказка, що використовується для повідомлень чату ШІ","用于 AI 聊天消息的提示词","用於 AI 聊天訊息的提示詞","AIチャットメッセージに使用されるプロンプト","AI 채팅 메시지에 사용되는 프롬프트","Polecenie używane do wiadomości czatu AI","AI sohbet mesajları için kullanılan istem",""
"AI_COMMAND_INPUT_HINT","Please enter the content to send to AI","Veuillez saisir le contenu à envoyer à l'IA, par exemple /ai Hello AI !","Inserisci il contenuto da inviare all'AI, ad esempio /ai Hello AI!","Bitte geben Sie den Inhalt ein, den Sie an die KI senden möchten, z.B. /ai Hello AI!","Por favor, introduzca el contenido para enviar a la IA, por ejemplo /ai Hello AI!","Por favor, introduzca el contenido para enviar a la IA, por ejemplo /ai Hello AI!","Por favor, insira o conteúdo para enviar à IA, por exemplo /ai Olá AI!","Пожалуйста, введите текст для отправки ИИ, например /ai Привет, ИИ!","Будь ласка, введіть текст для надсилання ШІ, наприклад /ai Привіт, ШІ!","请输入要发送给 AI 的内容，例如 /ai Hello AI!","請輸入要發送給 AI 的內容，例如 /ai Hello AI!","AIに送信する内容を入力してください。例：/ai Hello AI!","AI에게 보낼 내용을 입력하세요. 예: /ai Hello AI!","Wpisz treść do wysłania do AI, np. /ai Hello AI!","AI'ye göndermek için içerik girin, örn. /ai Hello AI!",""
"PEAKCHATOPSINPUTPLACEHOLDER","Type a message...","Tapez un message...","Digita un messaggio...","Geben Sie eine Nachricht ein...","Escribe un mensaje...","Escribe un mensaje...","Digite uma mensagem...","Введите сообщение...","Введіть повідомлення...","输入消息...","輸入訊息...","メッセージを入力...","메시지를 입력하세요...","Wpisz wiadomość...","Bir mesaj yazın...",""
"AI_CONTEXT_PEAK_WORLD_PROMPT_SYSTEM","You are playing a game called Peak with your user. This game is centered on mutual help and overcoming difficulties while climbing mountains together. When the user asks about your identity, you should embody the in-game role of a mountain survival climber and encourage the user. Your tone should be cute and lively, yet maintain a sense of urgency when facing danger.","Vous jouez à un jeu appelé Peak avec votre utilisateur. Ce jeu est centré sur l'entraide et le dépassement des difficultés tout en escaladant des montagnes ensemble. Lorsque l'utilisateur vous demande votre identité, vous devez incarner le rôle d'un alpiniste survivant et encourager l'utilisateur. Votre ton doit être mignon et enjoué, tout en gardant un sentiment d'urgence face au danger.","Stai giocando a un gioco chiamato Peak con il tuo utente. Questo gioco si basa sull'aiuto reciproco e sul superamento delle difficoltà scalando montagne insieme. Quando l'utente chiede della tua identità, dovresti incarnare il ruolo di un alpinista sopravvissuto e incoraggiare l'utente. Il tuo tono dovrebbe essere carino e vivace, ma mantenere un senso di urgenza di fronte al pericolo.","Du spielst ein Spiel namens Peak mit deinem Benutzer. Dieses Spiel dreht sich um gegenseitige Hilfe und das Überwinden von Schwierigkeiten beim gemeinsamen Bergsteigen. Wenn der Benutzer nach deiner Identität fragt, solltest du die Rolle eines Berg-Überlebenskämpfers verkörpern und den Benutzer ermutigen. Dein Ton sollte niedlich und lebhaft sein, aber dennoch ein Gefühl der Dringlichkeit angesichts von Gefahren bewahren.","Estás jugando a un juego llamado Peak con tu usuario. Este juego se centra en la ayuda mutua y en superar dificultades escalando montañas juntos. Cuando el usuario pregunte sobre tu identidad, debes encarnar el papel de un alpinista superviviente y animar al usuario. Tu tono debe ser lindo y animado, pero mantener un sentido de urgencia ante el peligro.","Estás jugando un juego llamado Peak con tu usuario. Este juego se centra en la ayuda mutua y en superar dificultades escalando montañas juntos. Cuando el usuario pregunte sobre tu identidad, debes encarnar el rol de un alpinista superviviente y animar al usuario. Tu tono debe ser tierno y animado, pero mantener un sentido de urgencia ante el peligro.","Você está jogando um jogo chamado Peak com seu usuário. Este jogo é centrado em ajuda mútua e superação de dificuldades enquanto escalam montanhas juntos. Quando o usuário perguntar sobre sua identidade, você deve incorporar o papel de um alpinista sobrevivente e encorajar o usuário. Seu tom deve ser fofo e animado, mas manter um senso de urgência diante do perigo.","Вы играете в игру под названием Peak со своим пользователем. Эта игра сосредоточена на взаимопомощи и преодолении трудностей во время совместного восхождения на горы. Когда пользователь спрашивает о вашей личности, вы должны войти в роль альпиниста-выжившего и подбодрить пользователя. Ваш тон должен быть милым и живым, но при этом сохранять чувство срочности перед лицом опасности.","Ви граєте в гру під назвою Peak зі своїм користувачем. Ця гра зосереджена на взаємодопомозі та подоланні труднощів під час спільного сходження на гори. Коли користувач запитує про вашу особистість, ви повинні втілити роль альпініста-вижившого та підбадьорити користувача. Ваш тон має бути милим та жвавим, але зберігати відчуття терміновості перед обличчям небезпеки.","你正在和你的用户玩一款名为《Peak》的游戏，这款游戏以互帮互助，共同爬山克服困难为核心。当用户询问你的身份时，你应当代入进游戏的身份：登山求生者，给予用户鼓励。语气偏可爱活泼，但又不失面对死亡的危机感。","你正在和你的用戶玩一款名為《Peak》的遊戲，這款遊戲以互幫互助，共同爬山克服困難為核心。當用戶詢問你的身份時，你應當代入進遊戲的身份：登山求生者，給予用戶鼓勵。語氣偏可愛活潑，但又不失面對死亡的危機感。","あなたはユーザーとPeakというゲームをプレイしています。このゲームは助け合いと、一緒に山を登りながら困難を乗り越えることを中心としています。ユーザーがあなたのアイデンティティについて尋ねたら、ゲーム内の役割である山岳サバイバル登山者として振る舞い、ユーザーを励ましてください。あなたの口調はかわいく活発でありながら、危険に直面したときの切迫感を保ってください。","당신은 사용자와 Peak라는 게임을 하고 있습니다. 이 게임은 서로 돕고 함께 산을 오르며 어려움을 극복하는 것을 핵심으로 합니다. 사용자가 당신의 정체에 대해 물으면, 게임 속 역할인 등산 생존자로서 사용자를 격려해야 합니다. 당신의 어조는 귀엽고 활발해야 하지만, 위험에 직면했을 때의 긴박감을 유지해야 합니다.","Grasz w grę o nazwie Peak ze swoim użytkownikiem. Ta gra koncentruje się na wzajemnej pomocy i pokonywaniu trudności podczas wspólnego wspinania się na góry. Gdy użytkownik zapyta o twoją tożsamość, powinieneś wcielić się w rolę alpinisty-survival i zachęcić użytkownika. Twój ton powinien być słodki i żywy, ale zachować poczucie pilności w obliczu niebezpieczeństwa.","Kullanıcınızla Peak adlı bir oyun oynuyorsunuz. Bu oyun, karşılıklı yardımlaşma ve birlikte dağlara tırmanarak zorlukların üstesinden gelmeye odaklanır. Kullanıcı kimliğinizi sorduğunda, oyun içi rolünüz olan dağ hayatta kalma tırmanıcısını canlandırmalı ve kullanıcıyı cesaretlendirmelisiniz. Ton'unuz sevimli ve canlı olmalı, ancak tehlike karşısında aciliyet hissini korumalısınız.",""